Date,Name,Price
2019-09-19,AMZN,1821.5
2020-03-11,AMZN,1820.86
2019-04-03,AMZN,1820.7
2019-09-10,AMZN,1820.55
2018-10-16,AMZN,1819.96
2019-03-21,AMZN,1819.26
2019-05-29,AMZN,1819.19
2019-04-04,AMZN,1818.86
2019-11-27,AMZN,1818.51
2019-09-18,AMZN,1817.46
2018-07-27,AMZN,1817.27
2019-05-30,AMZN,1816.32
2019-08-19,AMZN,1816.12
2019-05-23,AMZN,1815.48
2019-04-01,AMZN,1814.19
2019-04-02,AMZN,1813.98
2018-07-20,AMZN,1813.7
2018-07-13,AMZN,1813.03
2018-07-19,AMZN,1812.97
2018-07-26,AMZN,1808.0
2019-09-16,AMZN,1807.84
2020-03-17,AMZN,1807.84
2019-08-09,AMZN,1807.58
2019-08-22,AMZN,1805.6
2019-11-04,AMZN,1804.66
2019-06-07,AMZN,1804.03
2018-07-23,AMZN,1802.0
2019-11-05,AMZN,1801.71
2019-08-20,AMZN,1801.38
2019-11-29,AMZN,1800.8
2019-09-04,AMZN,1800.62
2020-03-09,AMZN,1800.61
2019-03-20,AMZN,1797.27
2018-08-01,AMZN,1797.17
2019-11-26,AMZN,1796.94
2018-07-12,AMZN,1796.62
2019-11-06,AMZN,1795.77
2019-09-20,AMZN,1794.16
2019-08-07,AMZN,1793.4
2019-12-23,AMZN,1793.0
2019-08-16,AMZN,1792.57
2019-12-19,AMZN,1792.28
2019-11-01,AMZN,1791.44
2019-12-17,AMZN,1790.66
2019-09-03,AMZN,1789.84
2018-10-22,AMZN,1789.3
2019-12-24,AMZN,1789.21
2018-10-12,AMZN,1788.61
2019-11-07,AMZN,1788.2
2019-08-06,AMZN,1787.83
2019-10-17,AMZN,1787.48
2019-12-20,AMZN,1786.5
2019-08-29,AMZN,1786.4
2019-11-08,AMZN,1785.88
2019-10-21,AMZN,1785.66
2019-09-23,AMZN,1785.3
2020-03-13,AMZN,1785.0
2019-08-12,AMZN,1784.92
2019-12-18,AMZN,1784.03
2019-03-26,AMZN,1783.76
2018-10-25,AMZN,1782.17
2019-12-02,AMZN,1781.6
2019-10-24,AMZN,1780.78
2019-03-29,AMZN,1780.75
2019-10-30,AMZN,1779.99
2018-07-30,AMZN,1779.22
2019-11-12,AMZN,1778.0
2018-07-31,AMZN,1777.44
2019-10-16,AMZN,1777.43
2019-10-28,AMZN,1777.08
2019-10-31,AMZN,1776.66
2019-08-30,AMZN,1776.29
2019-08-15,AMZN,1776.12
2019-05-31,AMZN,1775.07
2019-03-25,AMZN,1774.26
2019-11-25,AMZN,1773.84
2019-03-28,AMZN,1773.42
2018-12-03,AMZN,1772.36
2019-11-11,AMZN,1771.65
2018-10-18,AMZN,1770.72
2019-12-03,AMZN,1769.96
2019-12-16,AMZN,1769.21
2019-08-26,AMZN,1768.87
2018-10-23,AMZN,1768.7
2019-09-25,AMZN,1768.33
2019-10-15,AMZN,1767.38
2019-10-22,AMZN,1765.73
2019-03-27,AMZN,1765.7
2019-08-05,AMZN,1765.13
2019-03-22,AMZN,1764.77
2019-08-28,AMZN,1764.25
2018-10-19,AMZN,1764.03
2019-08-14,AMZN,1762.96
2019-10-29,AMZN,1762.71
2019-10-23,AMZN,1762.17
2019-03-19,AMZN,1761.85
2019-08-27,AMZN,1761.83
2019-10-25,AMZN,1761.33
2018-10-15,AMZN,1760.95
2019-12-13,AMZN,1760.94
2019-12-04,AMZN,1760.69
2019-12-12,AMZN,1760.33
2019-10-18,AMZN,1757.51
2018-11-07,AMZN,1755.49
2018-10-10,AMZN,1755.25
2018-07-11,AMZN,1755.0
2018-11-08,AMZN,1754.91
2019-11-14,AMZN,1754.6
2019-06-06,AMZN,1754.36
2019-11-13,AMZN,1753.11
2019-11-19,AMZN,1752.79
2019-11-18,AMZN,1752.53
2019-12-06,AMZN,1751.6
2018-06-20,AMZN,1750.08
2019-08-23,AMZN,1749.62
2019-12-09,AMZN,1749.51
2019-12-11,AMZN,1748.72
